Sentence
angular_talented talented_combines combines_outstanding outstanding_burst burst_long long_stride stride_gain gain_separation separation_hit hit_home angular talented combines outstanding burst long stride gain separation hit home
wo_able able_outrun outrun_defenders defenders_like like_college college_must must_develop develop_feel feel_tackles wo able outrun defenders like college must develop feel tackles
gordon_shines shines_track track_tackle tackle_around around_end end_put put_defense defense_sleep sleep_around around_corner gordon shines track tackle around end put defense sleep around corner
trustworthy_enough enough_improved improved_enough enough_utilize utilize_backfield backfield_receiver trustworthy enough improved enough utilize backfield receiver
tall_leggy leggy_shredded shredded_physique tall leggy shredded physique
transitions_inside inside_outside outside_without without_losing transitions inside outside without losing
cover_five five_yards yards_two two_strides strides_fully fully_unlocked unlocked_open open_field cover five yards two strides fully unlocked open field
impressive_burst burst_creating creating_space space_hit hit_big impressive burst creating space hit big
averaged_7 averaged 7
6_yards yards_per per_carry carry_last last_two two_seasons 6 yards per carry last two seasons
40_yards yards_2014 40 yards 2014
shifty_open open_field field_without without_hesitate shifty open field without hesitate
uses_line line_scrimmage scrimmage_change change_gaps gaps_avoid avoid_tacklers uses line scrimmage change gaps avoid tacklers
effective_spin spin_move move_make make_defenders defenders_miss miss_open open_field effective spin move make defenders miss open field
great_agility agility_plus plus_balance balance_hurdling hurdling_opponents opponents_diving diving_legs great agility plus balance hurdling opponents diving legs
feet_keep keep_moving moving_tight tight_spaces spaces_probing probing_daylight feet keep moving tight spaces probing daylight
able_consistently consistently_beat beat_college college_defenders defenders_flank able consistently beat college defenders flank
loves_tackles loves tackles
shows_ability ability_create create_burst burst_agility agility_turn turn_small small_gain gain_big big_one shows ability create burst agility turn small gain big one
improved_second second_half half_2014 2014_season improved second half 2014 season
desires_bounce bounce_wide wide_often desires bounce wide often
trusting_blocking trusting blocking
held_stuffs stuffs_resulting resulting_yards yards_loss loss_19 held stuffs resulting yards loss 19
2_percent percent_carries 2 percent carries
feel_instincts instincts_interior interior_need need_improvement feel instincts interior need improvement
shows_indecisiveness shows indecisiveness
would_gear gear_line line_waiting waiting_crease crease_show show_rather rather_adjusting adjusting_fly fly_taking taking_available would gear line waiting crease show rather adjusting fly taking available
play_strength strength_hole hole_average play strength hole average
used_strength strength_create create_many many_missed missed_broken broken_tackles used strength create many missed broken tackles
benefited_gaping gaping_lanes benefited gaping lanes
ball_security security_issue ball security issue
fumbled_six six_times times_final final_five five_games games_often often_stripped stripped_finishing fumbled six times final five games often stripped finishing
uncomfortable_marginal marginal_hands uncomfortable marginal hands
either_dropped dropped_double double_caught caught_smothered smothered_many many_throws either dropped double caught smothered many throws
pass_protection protection_needs needs_work pass protection needs work
might_come come_field field_third third_downs might come field third downs
rehab_work work_scouting scouting_combine combine_medicals medicals_extremely extremely_important important_gurley gurley_draft draft_stock stock_teams teams_assess assess_potential potential_durability rehab work scouting combine medicals extremely important gurley draft stock teams assess potential durability
played_less less_40 40_percent percent_team team_offensive offensive_snaps snaps_last last_three three_years years_plenty plenty_tread tread_still still_tires played less 40 percent team offensive snaps last three years plenty tread still tires
talent_acl acl_tear tear_clouds clouds_picture talent acl tear clouds picture
rare_blend blend_power rare blend power
immense_power power_legs legs_shows shows_balance immense power legs shows balance
shreds_arm arm_tackles tackles_house shreds arm tackles house
hard_tackle tackle_angle hard tackle angle
professional_decisive professional decisive
presses_line line_scrimmage scrimmage_set presses line scrimmage set
gets_downhill downhill_knee knee_bend bend_forward forward_lean lean_staying staying_small small_hole gets downhill knee bend forward lean staying small hole
uses_quick quick_tight tight_steps steps_second second_level uses quick tight steps second level
sink_explode explode_tackler tackler_jet jet_causing causing_hesitation hesitation_downhill downhill_safeties safeties_approach sink explode tackler jet causing hesitation downhill safeties approach
converts_power power_tackles tackles_around around_corner converts power tackles around corner
rarely_looks looks_bounds bounds_finishes rarely looks bounds finishes
able_factor factor_backfield backfield_soft soft_hands hands_ability ability_adjust adjust_throws able factor backfield soft hands ability adjust throws
2014_churned churned_amazing amazing_61 2014 churned amazing 61
9_percent percent_rushing rushing_yardage 9 percent rushing yardage
strong_hands hands_carries carries_ball ball_tight tight_body strong hands carries ball tight body
three_fumbles fumbles_510 510_carries three fumbles 510 carries
missed_three three_games games_2013 2013_due due_ankle ankle_injury injury_tore tore_acl acl_2014 missed three games 2013 due ankle injury tore acl 2014
questions_whether whether_return return_play play_big big_concern questions whether return play big concern
vision_average vision average
still_gaining gaining_feel feel_zone still gaining feel zone
locked_looking looking_cutback cutback_lanes lanes_open locked looking cutback lanes open
get_better better_setting setting_blockers blockers_space get better setting blockers space
average_creativity creativity_tight tight_quarters average creativity tight quarters
patience_tempo tempo_improve patience tempo improve
quick_passing passing_attack attack_limited limited_protection protection_opportunities opportunities_average average_given given_shot quick passing attack limited protection opportunities average given shot
violent_style style_joy joy_watch watch_might might_tempered tempered_extend extend_career violent style joy watch might tempered extend career
race_car car_red red_every every_snap snap_refuses refuses_give give_leads leads_many many_big race car red every snap refuses give leads many big
zone_gap gap_power zone gap power
really_matter matter_coleman coleman_fit fit_schemes really matter coleman fit schemes
burst_team team_looking looking_workhorse burst team looking workhorse
decisive
outstanding_burst burst_second second_level outstanding burst second level
fearless_tackles fearless tackles
dangerous_instantly instantly_change change_gaps gaps_ruin ruin_plans plans_linebackers dangerous instantly change gaps ruin plans linebackers
stays_square square_line line_always always_ready ready_position position_hit hit_turbo stays square line always ready position hit turbo
fluid_flexible flexible_lower lower_body body_elite elite_ability ability_natural natural_talent talent_without without_gearing fluid flexible lower body elite ability natural talent without gearing
power_legs legs_slice slice_arm arm_tackles tackles_uses uses_free free_hand hand_quality power legs slice arm tackles uses free hand quality
violent_finisher violent finisher
duck_shoulder shoulder_throw throw_heavy heavy_forearm forearm_tackler tackler_prove prove_point duck shoulder throw heavy forearm tackler prove point
content_keeps keeps_feet feet_moving moving_wo wo_give content keeps feet moving wo give
capable_hands hands_backfield backfield_willing willing_square square_engage engage_pass pass_rushers rushers_pass pass_plays capable hands backfield willing square engage pass rushers pass plays
hits_top top_quickly quickly_safeties safeties_linebackers linebackers_repeatedly repeatedly_take take_poor poor_angles angles_leading leading_long long_touchdowns hits top quickly safeties linebackers repeatedly take poor angles leading long touchdowns
half_28 28_career career_rushing rushing_touchdowns touchdowns_yards yards_including including_eight eight_yards half 28 career rushing touchdowns yards including eight yards
treats_every every_carry carry_like like_sprint treats every carry like sprint
must_improve improve_tempo tempo_patience patience_stretch stretch_plays must improve tempo patience stretch plays
learn_keep keep_improve improve_patience patience_allows allows_cutback cutback_lanes lanes_develop learn keep improve patience allows cutback lanes develop
improve_backfield improve backfield
always_position position_scan scan_defense defense_screen screen_passes passes_resulting resulting_lost lost_yardage always position scan defense screen passes resulting lost yardage
pad_level level_often often_little little_high pad level often little high
despite_talent talent_abdullah abdullah_lack lack_preferred preferred_size size_issues issues_ball ball_security security_might might_cause cause_teams teams_shy shy_away away_opening opening_round despite talent abdullah lack preferred size issues ball security might cause teams shy away opening round
abdullah_explosive explosive_potential potential_natural natural_fit abdullah explosive potential natural fit
high_character character_make make_hit hit_interview interview_process high character make hit interview process
decisive_drive drive_willingness willingness_behind behind_pads decisive drive willingness behind pads
finishes
burst_hit hit_top top_quickly burst hit top quickly
defenses_must must_respect respect_ability ability_turn turn_corner defenses must respect ability turn corner
patient_plus plus_vision patient plus vision
willing_seek seek_cutback cutback_lanes willing seek cutback lanes
rarely_dances dances_line line_makes makes_unnecessary unnecessary_lateral lateral_moves rarely dances line makes unnecessary lateral moves
predictable
lacks_blazing blazing_plays plays_fast lacks blazing plays fast
highly_competitive competitive_high high_football football_iq highly competitive high football iq
dropped_pass pass_two two_years years_valuable valuable_weapon weapon_passing passing_attack dropped pass two years valuable weapon passing attack
make_arm arm_tacklers tacklers_pay pay_better better_short short_yardage yardage_size make arm tacklers pay better short yardage size
help_immediately immediately_punt punt_kick kick_returner help immediately punt kick returner
personal_football football_character character_considered considered_scouting scouting_community personal football character considered scouting community
lacks_ideal ideal_size size_teams teams_look lacks ideal size teams look
frame_close close_maxed frame close maxed
always_go go_pass pass_routes routes_full always go pass routes full
smallish_frame frame_causes causes_issues issues_pass pass_protection smallish frame causes issues pass protection
tenacity_protection protection_needs needs_improve tenacity protection needs improve
ball_security security_legitimate legitimate_concern concern_13 13_fumbles fumbles_four four_years years_nebraska ball security legitimate concern 13 fumbles four years nebraska
comparison_marshawn marshawn_lynch lynch_might might_little little_much much_considering considering_lynch lynch_exploits exploits_ajayi ajayi_style style_body body_type type_similar similar_lynch lynch_ajayi ajayi_features features_improving improving_stiff stiff_arm arm_physicality physicality_become become_lynch lynch_calling calling_card comparison marshawn lynch might little much considering lynch exploits ajayi style body type similar lynch ajayi features improving stiff arm physicality become lynch calling card
ajayi_ability ability_play play_three three_downs downs_mashing mashing_short short_yardage yardage_near near_goal goal_line ajayi ability play three downs mashing short yardage near goal line
scouts_quietly quietly_circling circling_ajayi ajayi_offers offers_tremendous tremendous_value value_second second_day day_rounds rounds_draft scouts quietly circling ajayi offers tremendous value second day rounds draft
size_great great_feet size great feet
former_soccer soccer_player player_sudden sudden_feet former soccer player sudden feet
able_string string_together together_multiple multiple_moves moves_time able string together multiple moves time
varies_speeds speeds_call call_second second_gear gear_sees sees_daylight varies speeds call second gear sees daylight
hips_feet feet_always always_sync sync_thanks thanks_soccer soccer_background hips feet always sync thanks soccer background
shows_enough enough_wiggle wiggle_make make_defenders defenders_miss miss_create create_improvise improvise_creases creases_offering offering_much shows enough wiggle make defenders miss create improvise creases offering much
wide_base base_generates generates_leg leg_drive drive_push wide base generates leg drive push
plays_bend bend_bursts bursts_hole hole_low low_pad pad_level plays bend bursts hole low pad level
reliable
accelerates_second second_level accelerates second level
true_weapon weapon_backfield backfield_adequate adequate_hands hands_feel feel_maximizing maximizing_catch catch_space true weapon backfield adequate hands feel maximizing catch space
twists_turns turns_fights fights_fall fall_forward twists turns fights fall forward
asked_physical physical_downhill downhill_tackles tackles_obliged asked physical downhill tackles obliged
shows_blitz blitz_recognition shows blitz recognition
showed_mental mental_toughness toughness_character character_coming coming_deep deep_doghouse doghouse_october october_2011 2011_arrest showed mental toughness character coming deep doghouse october 2011 arrest
gets_cute cute_times times_looking looking_sift sift_laterally laterally_gap gap_gap gap_approaches approaches_line line_scrimmage gets cute times looking sift laterally gap gap approaches line scrimmage
needs_urgency urgency_perimeter needs urgency perimeter
get_opportunity opportunity_turn turn_corner corner_previously previously_available get opportunity turn corner previously available
average_feel feel_hole average feel hole
defenders_able able_avoid defenders able avoid
heavy_workload workload_2014 2014_398 398_total total_touches touches_28 heavy workload 2014 398 total touches 28
4_per per_game 4 per game
concerns_11 11_fumbles fumbles_last last_597 597_carries concerns 11 fumbles last 597 carries
technique_needs needs_improvement technique needs improvement
tore_acl acl_2011 tore acl 2011
arrested_stealing stealing_sweatpants sweatpants_2011 2011_faced faced_long long_road road_severe severe_punishment punishment_chris chris_petersen arrested stealing sweatpants 2011 faced long road severe punishment chris petersen
one_explosive explosive_runners runners_college college_football football_time time_miami miami_johnson johnson_need need_much much_crease crease_make make_defenses defenses_pay one explosive runners college football time miami johnson need much crease make defenses pay
explosive_quickness quickness_elusiveness elusiveness_help help_adapt adapt_quickly quickly_feel feel_courage courage_earn earn_instant instant_playing playing_time explosive quickness elusiveness help adapt quickly feel courage earn instant playing time
johnson_lack lack_protection protection_skills skills_injury injury_concerns concerns_force force_committee committee_situation johnson lack protection skills injury concerns force committee situation
explosive_burst burst_plays plays_suddenness explosive burst plays suddenness
elusive_tight tight_quarters elusive tight quarters
lightning_feet lightning feet
hips_feet feet_stop stop_start start_without without_stalling hips feet stop start without stalling
rare_ability ability_stretch stretch_plays plays_hit hit_cutback cutback_lanes lanes_ca ca_get rare ability stretch plays hit cutback lanes ca get
patience_burst patience burst
great_feel great feel
changes_direction direction_without without_breaking breaking_stride changes direction without breaking stride
courageous
shows_fear fear_getting getting_downhill shows fear getting downhill
competitor_toughness competitor toughness
second_gear gear_around around_corner corner_erase erase_angles second gear around corner erase angles
gets_small small_er er_hole hole_behind behind_pads gets small er hole behind pads
fights_arm arm_tackles fights arm tackles
regroups_balances balances_initial regroups balances initial
reads_sets sets_routes routes_adjusts adjusts_poorly poorly_thrown thrown_balls reads sets routes adjusts poorly thrown balls
average_inside inside_feel feel_instincts instincts_concerned average inside feel instincts concerned
vision_fails fails_times times_tackles vision fails times tackles
wo_always always_see see_initial initial_hole hole_mash mash_turbo turbo_button button_hoping hoping_power power_second second_level wo always see initial hole mash turbo button hoping power second level
times_unwilling unwilling_dirty dirty_work work_pass pass_protection times unwilling dirty work pass protection
looks_cut cut_blocks blocks_rather rather_squaring squaring_playing playing_technique technique_toughness looks cut blocks rather squaring playing technique toughness
tries_daylight daylight_open open_field field_rather rather_finishing tries daylight open field rather finishing
hampered_injuries injuries_2014 2014_broke broke_ankle ankle_2013 hampered injuries 2014 broke ankle 2013
medicals_combed medicals combed
must_improve improve_ball ball_security security_fumbling fumbling_six six_times times_last last_two two_seasons must improve ball security fumbling six times last two seasons
instinctive_athletic athletic_foot foot_quickness quickness_create create_lanes lanes_constrict constrict_blocks blocks_missed instinctive athletic foot quickness create lanes constrict blocks missed
yeldon_lacks lacks_ball ball_security security_desired desired_tackle tackle_breaking breaking_starter yeldon lacks ball security desired tackle breaking starter
versatile_rotational rotational_ability ability_step step_step versatile rotational ability step step
size_room room_frame frame_add add_bulk size room frame add bulk
exceptional_hips hips_foot foot_quickness quickness_using using_weave weave_dart dart_trash trash_tackles exceptional hips foot quickness using weave dart trash tackles
quick_decisive decisive_reads reads_zone zone_plays quick decisive reads zone plays
ankle_flexion flexion_dip dip_burst burst_second second_level level_third ankle flexion dip burst second level third
creative_showing showing_innate innate_feel feel_lanes creative showing innate feel lanes
anticipates_creases creases_developing developing_makes makes_skinny skinny_squeeze anticipates creases developing makes skinny squeeze
effortless_lateral lateral_movement effortless lateral movement
make_tacklers tacklers_miss miss_change change_tackle tackle_angles angles_confined confined_quarters make tacklers miss change tackle angles confined quarters
average_backfield backfield_catch average backfield catch
productive_playing playing_pain productive playing pain
upright_space space_opening opening_ball ball_big big_hits upright space opening ball big hits
pad_level level_high high_point point_collision pad level high point collision
mediocre_power power_size mediocre power size
push_pile pile_wo wo_many many_tackles push pile wo many tackles
pass_protection protection_lacking pass protection lacking
throws_shoulder shoulder_pass pass_rusher rusher_rather rather_squaring squaring_taking taking_posture throws shoulder pass rusher rather squaring taking posture
tends_bounce bounce_juke juke_little little_long long_second second_level tends bounce juke little long second level
must_improve improve_ball ball_security security_fumbling fumbling_10 10_times times_576 576_career career_carries must improve ball security fumbling 10 times 576 career carries
much_tread tread_tires tires_since since_arriving arriving_auburn auburn_junior junior_college much tread tires since arriving auburn junior college
proven_hit hit_turbo turbo_button button_get get_creases creases_lacks lacks_special special_traits traits_ability ability_max max_carries proven hit turbo button get creases lacks special traits ability max carries
tough_question question_enough enough_athleticism athleticism_anything anything_grinder grinder_average average_backup tough question enough athleticism anything grinder average backup
patient_waits waits_blocks blocks_develop develop_attacking attacking_hole patient waits blocks develop attacking hole
duck_head head_finish duck head finish
gets_top top_quickly gets top quickly
looks_keep keep_north north_south looks keep north south
effective_spin spin_move move_second second_level effective spin move second level
ball_security ball security
due_stocky stocky_frame frame_defenders defenders_underestimate underestimate_burst burst_around around_corner corner_tend tend_take take_poor poor_angles due stocky frame defenders underestimate burst around corner tend take poor angles
willing_banger banger_tackles willing banger tackles
patience_sometimes sometimes_turns turns_lack lack_urgency urgency_reads patience sometimes turns lack urgency reads
