Player Name,Pick,Year,balance_count,balance_score,vision_count,vision_score,hips_count,hips_score,security_count,security_score,routes_count,routes_score,topend_count,topend_score,injury_count,injury_score,workload_count,workload_score,St,PB,AP1,Player,Ht,Wt,Forty,BenchReps,BroadJump,Cone,Shuttle,PB_prediction,AP1_prediction,Survival_Prob_1,Survival_Prob_2,Survival_Prob_3,Survival_Prob_4,Survival_Prob_5,Survival_Prob_6,Survival_Prob_7
Melvin Gordon,-1.7519481623568984,2015,0.8920664206642066,0.4640221402214022,0.4381918819188192,0.0,0.6872693726937269,0.0,0.0,0.4833948339483395,0.6780442804428044,0.0,0.0,0.5046125461254612,0.0,0.540590405904059,0.0,0.507380073800738,7.0,2.0,0.0,Melvin Gordon,0.9391143911439116,0.533210332103321,0.4501845018450184,0.551660516605166,0.8911439114391144,0.2066420664206641,0.040590405904059,0.6313518997061747,0.8900046993912102,0.6716892822692364,0.568557610664896,0.49415978493958784,0.4542312349801212,0.33584645290336024,0.25852957150045525,0.1024108589692017
Todd Gurley,-1.87475460821043,2015,0.9381918819188192,0.4234317343173431,0.4935424354243542,0.0,0.0,0.4769372693726937,0.0,0.4833948339483395,0.0,0.5119926199261993,0.0,0.5046125461254612,0.0,0.540590405904059,0.0,0.507380073800738,6.0,3.0,2.0,Todd Gurley,0.9391143911439116,0.7370848708487084,0.4501845018450184,0.3413284132841329,0.320110701107011,0.4584870848708486,0.6374538745387454,0.9006659530259717,0.943221204052999,0.7894502364794624,0.7150183620477586,0.657860347380544,0.6257432852950204,0.5229873695528564,0.447698797639828,0.25826733307332045
Tevin Coleman,-0.3273933904559337,2015,0.9907749077490776,0.3367158671586716,0.3145756457564576,0.0,0.0,0.4769372693726937,0.0,0.4833948339483395,0.0,0.5119926199261993,0.0,0.5046125461254612,0.0,0.540590405904059,0.0,0.507380073800738,2.0,0.0,0.0,Tevin Coleman,0.6503690036900369,0.2333948339483395,0.1125461254612546,0.8256457564575646,0.1309963099630996,0.764760147601476,0.9455719557195572,0.7182260348051777,0.6614017698840312,0.5403079434576756,0.41749653147119387,0.33607312444709997,0.29500605374783184,0.18491499991340118,0.12336542552277374,0.029449158862227817
Ameer Abdullah,-0.7940578846993532,2015,0.5415129151291513,0.0894833948339483,0.7555350553505535,0.7223247232472325,0.0,0.4769372693726937,0.0,0.4833948339483395,0.0,0.5119926199261993,0.9677121771217712,1.0,0.0,0.540590405904059,0.0,0.507380073800738,2.0,0.0,0.0,Ameer Abdullah,0.2195571955719557,0.2075645756457564,0.6817343173431734,0.9243542435424354,0.9437269372693726,0.044280442804428,0.0138376383763837,0.5539082196328391,0.2645092395217044,0.4751907814874035,0.3479507303808391,0.2676971458524402,0.22868255512606075,0.1300337650724316,0.07972756333852267,0.014115886224598707
Jay Ajayi,1.342774273152094,2015,0.3293357933579335,0.809040590405904,0.3902214022140221,0.0,0.5876383763837638,1.0,0.0,0.4833948339483395,0.7186346863468634,1.0,0.0,0.5046125461254612,0.0,0.540590405904059,0.0,0.507380073800738,2.0,1.0,0.0,Jay Ajayi,0.82380073800738,0.7103321033210332,0.6097785977859778,0.551660516605166,0.6254612546125461,0.2610701107011069,0.0488929889298892,0.0892509400574937,0.0409561420957034,0.304506905469369,0.1850510491919337,0.12170474609741226,0.09461917964701502,0.03838466155461904,0.017564728441542603,0.001104120402903369
Duke Johnson,-0.2291482337731086,2015,0.6245387453874538,0.679889298892989,0.4824723247232472,0.0,0.0,0.4769372693726937,0.0,0.4833948339483395,0.775830258302583,0.0,0.0,0.5046125461254612,0.9603321033210332,0.0,0.0,0.507380073800738,0.0,0.0,0.0,Duke Johnson,0.2195571955719557,0.2656826568265683,0.5156826568265682,0.2813653136531365,0.6254612546125461,0.5913284132841328,0.6918819188191881,0.5691171741653527,0.2798661555710383,0.4067705659287526,0.2790729900640517,0.2032590067472223,0.1680136881520307,0.0849059274832431,0.04700016588517724,0.005795479033674227
T.J. Yeldon,-1.2361610897720663,2015,0.7204797047970479,0.1743542435424354,0.0,0.5387453874538746,0.8828413284132841,1.0,0.0,0.4833948339483395,0.6540590405904059,0.0,0.0,0.5046125461254612,0.0,0.540590405904059,0.0,0.507380073800738,2.0,0.0,0.0,T.J. Yeldon,0.9391143911439116,0.8293357933579335,0.7057195571955719,0.8256457564575646,0.3459409594095941,0.3736162361623616,0.1466789667896679,0.6547266723455409,0.71508940870109,0.5979156125747568,0.48203777822555877,0.40213084519048775,0.36064467238560466,0.24412075001598746,0.1740818410669272,0.052603388939479405
David Cobb,1.0726000922743246,2015,0.9252767527675276,0.4400369003690036,0.0,0.5387453874538746,0.0,0.4769372693726937,0.0,0.4833948339483395,0.6660516605166051,0.0,0.0,0.5046125461254612,0.0,0.540590405904059,0.0,0.507380073800738,0.0,0.0,0.0,David Cobb,0.6503690036900369,0.8846863468634686,0.6559040590405905,0.3413284132841329,0.6254612546125461,0.9123616236162362,0.9363468634686348,0.2902899245817237,0.1651041864960145,0.2457953484603676,0.13655365556274435,0.08327931721561446,0.061874926124181676,0.02133592702042661,0.008480777122100089,0.0003238567835819947
Mike Davis,0.9006710680793807,2015,0.0415129151291512,1.0,0.940959409594096,0.0,0.0,0.4769372693726937,0.0,0.4833948339483395,0.7112546125461254,1.0,0.0,0.5046125461254612,0.0,0.540590405904059,0.0,0.507380073800738,2.0,0.0,0.0,Mike Davis,0.2195571955719557,0.6715867158671587,0.9677121771217712,0.6273062730627306,0.2407749077490774,0.8265682656826567,0.6752767527675276,0.2273773900897168,0.035456487741628,0.46029572388663287,0.33257780977898327,0.2530143137038036,0.21468722022259085,0.11916122279618359,0.0715474033716076,0.011762776170688256
Javorius Allen,0.8761097789086744,2015,0.97140221402214,0.28690036900369,0.3828413284132841,0.0,0.6411439114391144,1.0,0.0,0.4833948339483395,0.0,0.5119926199261993,0.0,0.5046125461254612,0.0,0.540590405904059,0.0,0.507380073800738,0.0,0.0,0.0,Javorius Allen,0.82380073800738,0.7103321033210332,0.4778597785977859,0.0304428044280442,0.6254612546125461,0.1605166051660516,0.2250922509225092,0.2323984418868744,0.3013572123925899,0.31891241915378044,0.1975942722970433,0.13208838659834657,0.10370179005926382,0.04357086540595792,0.020553132885364464,0.0014386798535400308
